,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,Ratio
80,532493,ASTRAMICRO,Astra Microwave Products Ltd,30 Dec 2010,Bonus issue 1:2,31 Dec 2010,-,-,24 Dec 2010,30 Dec 2010,-,1:2
81,530075,SELAN,Selan Exploration Technology Ltd-$,31 Dec 2010,Bonus issue 1:10,03 Jan 2011,-,-,27 Dec 2010,31 Dec 2010,-,1:10
82,532948,TULSI,Tulsi Extrusions Ltd,07 Jan 2011,Bonus issue 1:10,10 Jan 2011,-,-,03 Jan 2011,07 Jan 2011,-,1:10
83,511626,RRFIN,RR Financial Consultants Ltd,13 Jan 2011,Bonus issue 1:1,15 Jan 2011,-,-,10 Jan 2011,13 Jan 2011,-,1:1
84,500312,ONGC,Oil and Natural Gas Corporation Ltd,08 Feb 2011,Bonus issue 1:1,09 Feb 2011,-,-,02 Feb 2011,08 Feb 2011,-,1:1
85,512608,BHANDARI,Bhandari Hosiery Exports Ltd,24 Feb 2011,Bonus issue 7:20,25 Feb 2011,-,-,18 Feb 2011,24 Feb 2011,-,7:20
86,517467,MARSONS,Marsons Ltd,04 Mar 2011,Bonus issue 1:4,07 Mar 2011,-,-,25 Feb 2011,04 Mar 2011,-,1:4
87,500188,HINDZINC,Hindustan Zinc Ltd,07 Mar 2011,Bonus issue 1:1,08 Mar 2011,-,-,28 Feb 2011,07 Mar 2011,-,1:1
88,522235,MINALIND,Minal Industries Ltd,10 Mar 2011,Bonus issue 2:3,12 Mar 2011,-,-,07 Mar 2011,10 Mar 2011,-,2:3
89,532234,NATIONALUM,National Aluminium Company Ltd,15 Mar 2011,Bonus issue 1:1,16 Mar 2011,-,-,09 Mar 2011,15 Mar 2011,-,1:1
90,519260,SANWARIA,Sanwaria Consumer Ltd-$,07 Apr 2011,Bonus issue 1:1,08 Apr 2011,-,-,31 Mar 2011,07 Apr 2011,-,1:1
91,500249,KSB,KSB Ltd,18 Apr 2011,Bonus issue 1:1,19 Apr 2011,-,-,08 Apr 2011,18 Apr 2011,-,1:1
92,531431,SHAKTIPUMP,Shakti Pumps India Ltd-$,28 Apr 2011,Bonus issue 1:1,29 Apr 2011,-,-,21 Apr 2011,28 Apr 2011,-,1:1
93,531841,INDUSFINL,Indus Finance Ltd,03 May 2011,Bonus issue 1:1,04 May 2011,-,-,27 Apr 2011,03 May 2011,-,1:1
94,532944,ONMOBILE,OnMobile Global Ltd,03 May 2011,Bonus issue 1:1,04 May 2011,-,-,27 Apr 2011,03 May 2011,-,1:1
95,506146,VIVIDHA,Visagar Polytex Ltd,26 May 2011,Bonus issue 1:1,28 May 2011,-,-,23 May 2011,26 May 2011,-,1:1
96,500069,QUESTCAP,Quest Capital Markets Ltd,06 Jun 2011,Bonus issue 1:4,-,08 Jun 2011,08 Jun 2011,01 Jun 2011,07 Jun 2011,-,1:4
97,531213,MANAPPURAM,Manappuram Finance Ltd,09 Jun 2011,Bonus issue 1:1,10 Jun 2011,-,-,03 Jun 2011,09 Jun 2011,-,1:1
98,500114,TITAN,Titan Company Ltd,23 Jun 2011,Bonus issue 1:1,24 Jun 2011,-,-,17 Jun 2011,23 Jun 2011,-,1:1
99,514183,BLACKROSE,Black Rose Industries Ltd,30 Jun 2011,Bonus issue 1:1,-,05 Jul 2011,06 Jul 2011,27 Jun 2011,04 Jul 2011,-,1:1
100,532503,RAJPALAYAM,Rajapalayam Mills Ltd-$,13 Jul 2011,Bonus issue 1:1,-,15 Jul 2011,20 Jul 2011,08 Jul 2011,14 Jul 2011,-,1:1
101,531178,HEMANG,Hemang Resources Ltd,14 Jul 2011,Bonus issue 3:1,15 Jul 2011,-,-,08 Jul 2011,14 Jul 2011,-,3:1
102,509472,CRAVATEX,Cravatex Ltd,15 Jul 2011,Bonus issue 1:1,-,19 Jul 2011,19 Jul 2011,12 Jul 2011,18 Jul 2011,-,1:1
103,500120,DIAMINESQ,Diamines & Chemicals Ltd-$,19 Jul 2011,Bonus issue 1:2,-,21 Jul 2011,21 Jul 2011,14 Jul 2011,20 Jul 2011,-,1:2
104,500477,ASHOKLEY,Ashok Leyland Ltd,02 Aug 2011,Bonus issue 1:1,03 Aug 2011,-,-,27 Jul 2011,02 Aug 2011,-,1:1
105,504340,LONGSPUR,Longspur International Ventures Ltd,23 Aug 2011,Bonus issue 4:1,29 Aug 2011,-,-,23 Aug 2011,30 Aug 2011,-,4:1
106,507836,MCCHRLS-B,Mac Charles India Ltd,12 Sep 2011,Bonus issue 1:1,15 Sep 2011,-,-,12 Sep 2011,20 Sep 2011,-,1:1
107,500480,CUMMINSIND,Cummins India Ltd,20 Sep 2011,Bonus issue 2:5,21 Sep 2011,-,-,14 Sep 2011,20 Sep 2011,-,2:5
108,532240,INDNIPPON,India Nippon Electricals Ltd,20 Sep 2011,Bonus issue 2:5,21 Sep 2011,-,-,14 Sep 2011,20 Sep 2011,-,2:5
109,532854,NITINFIRE,Nitin Fire Protection Industries Ltd,22 Sep 2011,Bonus issue 5:2,23 Sep 2011,-,-,16 Sep 2011,22 Sep 2011,-,5:2
110,521163,ZODIACLOTH,Zodiac Clothing Company Ltd,27 Sep 2011,Bonus issue 1:2,28 Sep 2011,-,-,21 Sep 2011,27 Sep 2011,-,1:2
111,533576,VASWANI,Vaswani Industries Ltd,29 Sep 2011,Bonus issue 1:4,03 Oct 2011,-,-,26 Sep 2011,30 Sep 2011,-,1:4
112,531082,ALANKIT,Alankit Ltd,10 Oct 2011,Bonus issue 4:1,18 Oct 2011,-,-,10 Oct 2011,21 Oct 2011,-,4:1
113,501630,ANANDPROJ,Anand Projects Ltd,20 Oct 2011,Bonus issue 17:1,01 Nov 2011,-,-,20 Oct 2011,03 Nov 2011,-,17:1
114,500219,JISLJALEQS,Jain Irrigation Systems Ltd,08 Nov 2011,Bonus issue 1:20,09 Nov 2011,-,-,01 Nov 2011,08 Nov 2011,-,1:20
115,507779,KANPRPLA,Kanpur Plastipack Ltd,16 Nov 2011,Bonus issue 1:2,17 Nov 2011,-,-,11 Nov 2011,16 Nov 2011,-,1:2
116,532400,BSOFT,Birlasoft Ltd,13 Mar 2012,Bonus issue 1:1,14 Mar 2012,-,-,06 Mar 2012,13 Mar 2012,-,1:1
117,531531,HATSUN,Hatsun Agro Product Ltd,26 Mar 2012,Bonus issue 1:2,27 Mar 2012,-,-,19 Mar 2012,26 Mar 2012,-,1:2
118,533106,OIL,Oil India Ltd,29 Mar 2012,Bonus issue 3:2,31 Mar 2012,-,-,26 Mar 2012,28 Mar 2012,-,3:2
119,532391,OPTOCIRCUI,Opto Circuits (India) Ltd,29 Mar 2012,Bonus issue 3:10,31 Mar 2012,-,-,26 Mar 2012,28 Mar 2012,-,3:10
120,511431,VAKRANGEE,Vakrangee Ltd-$,12 Apr 2012,Bonus issue 1:1,13 Apr 2012,-,-,04 Apr 2012,12 Apr 2012,-,1:1
121,533166,SUNDARAM,Sundaram Multi Pap Ltd,13 Apr 2012,Bonus issue 2:1,16 Apr 2012,-,-,09 Apr 2012,13 Apr 2012,-,2:1
122,532612,INDOCO,Indoco Remedies Ltd,17 May 2012,Bonus issue 1:2,19 May 2012,-,-,14 May 2012,17 May 2012,-,1:2
123,533506,INVENTURE,Inventure Growth & Securities Ltd,22 May 2012,Bonus issue 3:1,23 May 2012,-,-,16 May 2012,22 May 2012,-,3:1
124,532777,NAUKRI,Info Edge (India) Ltd,22 Jun 2012,Bonus issue 1:1,-,26 Jun 2012,26 Jun 2012,19 Jun 2012,25 Jun 2012,-,1:1
125,512161,SECURKLOUD,Securekloud Technologies Ltd,22 Jun 2012,Bonus issue 2:3,25 Jun 2012,-,-,18 Jun 2012,22 Jun 2012,-,2:3
126,524412,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd,25 Jun 2012,Bonus issue 1:5,26 Jun 2012,-,-,19 Jun 2012,25 Jun 2012,-,1:5
127,531795,ATULAUTO,Atul Auto Ltd-$,03 Jul 2012,Bonus issue 1:2,-,05 Jul 2012,05 Jul 2012,27 Jun 2012,04 Jul 2012,-,1:2
128,512626,ORBTEXP,Orbit Exports Ltd,09 Jul 2012,Bonus issue 1:2,10 Jul 2012,-,-,03 Jul 2012,09 Jul 2012,-,1:2
