,Unnamed: 0,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,type,dividend
46,46,532922,EDELWEISS,Edelweiss Financial Services Ltd,03 Feb 2010,Interim Dividend - Rs. - 2.0000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 2.0000
47,47,501848,GLOBOFFS,Global Offshore Services Ltd-$,03 Feb 2010,Interim Dividend - Rs. - 0.8000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 0.8000
48,48,509152,GRPLTD,GRP Ltd,03 Feb 2010,Interim Dividend - Rs. - 5.0000,15 Feb 2010,-,-,03 Feb 2010,18 Feb 2010,-,Interim Dividend, 5.0000
49,49,500243,KIRLOSIND,Kirloskar Industries Ltd,03 Feb 2010,Interim Dividend - Rs. - 1.5000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 1.5000
50,50,512626,ORBTEXP,Orbit Exports Ltd,03 Feb 2010,Interim Dividend - Rs. - 1.0000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 1.0000
51,51,532827,PAGEIND,Page Industries Ltd,03 Feb 2010,Interim Dividend - Rs. - 6.0000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 6.0000
52,52,532810,PFC,Power Finance Corporation Ltd,03 Feb 2010,Interim Dividend - Rs. - 3.0000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 3.0000
53,53,531539,RISHDIGA,Rishabh Digha Steel & Allied Products Ltd-$,03 Feb 2010,Interim Dividend - Rs. - 1.0000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 1.0000
54,54,532349,TCI,Transport Corporation of India Ltd,03 Feb 2010,Interim Dividend - Rs. - 0.4000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 0.4000
55,55,500093,CGPOWER,CG Power and Industrial Solutions Ltd,04 Feb 2010,Interim Dividend - Rs. - 1.4000,05 Feb 2010,-,-,29 Jan 2010,04 Feb 2010,-,Interim Dividend, 1.4000
56,56,505242,DYNAMATECH,Dynamatic Technologies Ltd-$,04 Feb 2010,Interim Dividend - Rs. - 2.5000,05 Feb 2010,-,-,29 Jan 2010,04 Feb 2010,-,Interim Dividend, 2.5000
57,57,532696,EDUCOMP,Educomp Solutions Ltd,04 Feb 2010,Interim Dividend - Rs. - 1.0000,06 Feb 2010,-,-,01 Feb 2010,04 Feb 2010,-,Interim Dividend, 1.0000
58,58,500125,EIDPARRY,EID Parry India Ltd,04 Feb 2010,Interim Dividend - Rs. - 6.0000,05 Feb 2010,-,-,29 Jan 2010,04 Feb 2010,-,Interim Dividend, 6.0000
59,59,590066,KCP,KCP Ltd,04 Feb 2010,Interim Dividend - Rs. - 2.5000,05 Feb 2010,-,-,29 Jan 2010,04 Feb 2010,-,Interim Dividend, 2.5000
