Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532899,KSCL,Kaveri Seed Company Ltd,15 Jun 2017,Buy Back of Shares ,16 Jun 2017,-,-,09 Jun 2017,15 Jun 2017,-
517506,TTKPRESTIG,TTK Prestige Ltd,15 Jun 2017,Buy Back of Shares ,16 Jun 2017,-,-,09 Jun 2017,15 Jun 2017,-
532178,ENGINERSIN,Engineers India Ltd,28 Jun 2017,Buy Back of Shares ,29 Jun 2017,-,-,21 Jun 2017,28 Jun 2017,-
531209,NUCLEUS,Nucleus Software Exports Ltd,29 Jun 2017,Buy Back of Shares ,30 Jun 2017,-,-,22 Jun 2017,29 Jun 2017,-
531169,SKPSEC,SKP Securities Ltd,29 Jun 2017,Buy Back of Shares ,30 Jun 2017,-,-,22 Jun 2017,29 Jun 2017,-
513117,AMFORG,Amforge Industries Ltd,25 Jul 2017,Buy Back of Shares ,26 Jul 2017,-,-,19 Jul 2017,25 Jul 2017,-
506285,BAYERCROP,Bayer CropScience Ltd,07 Aug 2017,Buy Back of Shares ,08 Aug 2017,-,-,01 Aug 2017,07 Aug 2017,-
532784,SOBHA,Sobha Ltd,24 Aug 2017,Buy Back of Shares ,28 Aug 2017,-,-,24 Aug 2017,24 Aug 2017,-
526117,SHERVANI,Shervani Industrial Syndicate Ltd,31 Aug 2017,Buy Back of Shares ,01 Sep 2017,-,-,24 Aug 2017,31 Aug 2017,-
524200,VINATIORGA,Vinati Organics Ltd,31 Aug 2017,Buy Back of Shares ,01 Sep 2017,-,-,24 Aug 2017,31 Aug 2017,-
507685,WIPRO,Wipro Ltd,14 Sep 2017,Buy Back of Shares ,15 Sep 2017,-,-,08 Sep 2017,14 Sep 2017,-
532380,BABA,Baba Arts Ltd,15 Sep 2017,Buy Back of Shares ,18 Sep 2017,-,-,11 Sep 2017,15 Sep 2017,-
500209,INFY,Infosys Ltd,31 Oct 2017,Buy Back of Shares ,01 Nov 2017,-,-,25 Oct 2017,31 Oct 2017,-
524731,JENBURPH,Jenburkt Pharmaceuticals Ltd,09 Nov 2017,Buy Back of Shares ,10 Nov 2017,-,-,03 Nov 2017,09 Nov 2017,-
532329,DANLAW,Danlaw Technologies India Ltd,24 Nov 2017,Buy Back of Shares ,27 Nov 2017,-,-,20 Nov 2017,24 Nov 2017,-
522249,MAYURUNIQ,Mayur Uniquoters Ltd,29 Nov 2017,Buy Back of Shares ,02 Dec 2017,-,-,27 Nov 2017,29 Nov 2017,-
533343,LOVABLE,Lovable Lingerie Ltd,07 Dec 2017,Buy Back of Shares ,08 Dec 2017,-,-,30 Nov 2017,07 Dec 2017,-
500672,NOVARTIND,Novartis India Ltd,07 Dec 2017,Buy Back of Shares ,08 Dec 2017,-,-,30 Nov 2017,07 Dec 2017,-
505285,TULIVE,Tulive Developers Ltd,20 Dec 2017,Buy Back of Shares ,21 Dec 2017,-,-,14 Dec 2017,20 Dec 2017,-
512020,ZSARACOM,Saraswati Commercial India Ltd,21 Dec 2017,Buy Back of Shares ,22 Dec 2017,-,-,15 Dec 2017,21 Dec 2017,-
524208,AARTIIND,Aarti Industries Ltd,04 Jan 2018,Buy Back of Shares ,05 Jan 2018,-,-,29 Dec 2017,04 Jan 2018,-
500407,SWARAJENG,Swaraj Engines Ltd,11 Jan 2018,Buy Back of Shares ,12 Jan 2018,-,-,05 Jan 2018,11 Jan 2018,-
532804,TIIL,Technocraft Industries (India) Ltd,11 Jan 2018,Buy Back of Shares ,12 Jan 2018,-,-,05 Jan 2018,11 Jan 2018,-
533206,SJVN,SJVN Ltd,17 Jan 2018,Buy Back of Shares ,18 Jan 2018,-,-,11 Jan 2018,17 Jan 2018,-
524348,AARTIDRUGS,Aarti Drugs Ltd,18 Jan 2018,Buy Back of Shares ,19 Jan 2018,-,-,12 Jan 2018,18 Jan 2018,-
538564,JAMESWARREN,James Warren Tea Ltd,18 Jan 2018,Buy Back of Shares ,19 Jan 2018,-,-,12 Jan 2018,18 Jan 2018,-
512626,ORBTEXP,Orbit Exports Ltd,18 Jan 2018,Buy Back of Shares ,19 Jan 2018,-,-,12 Jan 2018,18 Jan 2018,-
526705,ELEMARB,Elegant Marbles & Grani Industries Ltd,24 Jan 2018,Buy Back of Shares ,25 Jan 2018,-,-,18 Jan 2018,24 Jan 2018,-
532927,ECLERX,eClerx Services Ltd,02 Feb 2018,Buy Back of Shares ,05 Feb 2018,-,-,29 Jan 2018,02 Feb 2018,-
500049,BEL,Bharat Electronics Ltd,08 Feb 2018,Buy Back of Shares ,09 Feb 2018,-,-,02 Feb 2018,08 Feb 2018,-
513108,GANDHITUBE,Gandhi Special Tubes Ltd,08 Feb 2018,Buy Back of Shares ,09 Feb 2018,-,-,02 Feb 2018,08 Feb 2018,-
524667,SOTL,Savita Oil Technologies Ltd,08 Feb 2018,Buy Back of Shares ,09 Feb 2018,-,-,02 Feb 2018,08 Feb 2018,-
500331,PIDILITIND,Pidilite Industries Ltd,09 Feb 2018,Buy Back of Shares ,12 Feb 2018,-,-,05 Feb 2018,09 Feb 2018,-
506690,UNICHEMLAB,Unichem Laboratories Ltd,15 Feb 2018,Buy Back of Shares ,16 Feb 2018,-,-,08 Feb 2018,14 Feb 2018,-
533286,MOIL,Moil Ltd,16 Feb 2018,Buy Back of Shares ,20 Feb 2018,-,-,12 Feb 2018,19 Feb 2018,-
531599,FDC,FDC Ltd,26 Feb 2018,Buy Back of Shares ,27 Feb 2018,-,-,20 Feb 2018,26 Feb 2018,-
500038,BALRAMCHIN,Balrampur Chini Mills Ltd,05 Mar 2018,Buy Back of Shares ,06 Mar 2018,-,-,26 Feb 2018,05 Mar 2018,-
532889,KPRMILL,K.P.R. Mill Limited,06 Mar 2018,Buy Back of Shares ,07 Mar 2018,-,-,27 Feb 2018,06 Mar 2018,-
506235,ALEMBICLTD,Alembic Ltd,22 Mar 2018,Buy Back of Shares ,23 Mar 2018,-,-,16 Mar 2018,22 Mar 2018,-
532742,PAUSHAKLTD,Paushak Ltd,22 Mar 2018,Buy Back of Shares ,23 Mar 2018,-,-,16 Mar 2018,22 Mar 2018,-
514418,MANORG,Mangalam Organics Ltd,03 Apr 2018,Buy Back of Shares ,04 Apr 2018,-,-,26 Mar 2018,03 Apr 2018,-
532419,SMARTLINK,Smartlink Holdings Ltd,17 May 2018,Buy Back of Shares ,18 May 2018,-,-,11 May 2018,17 May 2018,-
509040,NETLINK,Netlink Solutions India Ltd,18 May 2018,Buy Back of Shares ,21 May 2018,-,-,14 May 2018,18 May 2018,-
