Plus91_id,Trading Symbol,Security_id,Exchange,Segment,Exchange Token
c3d146894bb6fdc0affce5ce00af567acaf1e69ab8c7f5636a36466a37c074b4,BLSE,NSE_EQ:22566,NSE,EQ,22566
e36c02d7812d93f98289005ad21d2d7cf0a75f3c2629b787ff5ab5613dcd8e92,GENSOL,NSE_EQ:17010,NSE,EQ,17010
86b01eeefb5c687aac0291f24c2098be8fa26e92e791e05cb4b430d87399ca11,QUAL30IETF,NSE_EQ:17808,NSE,EQ,17808
ebf23d5c751b033eea8252410f58a01ff282eaf44fcedc0f4dcdb763d8f0a7d0,RATNAVEER,NSE_EQ:18423,NSE,EQ,18423
c36e05f2e0db47a0f2e3883480f45eb8feef65ee52769b0228c367bdfbb4fc8e,TATATECH,NSE_EQ:20293,NSE,EQ,20293
7d7ccc26195b6edb8a9367bbad8595f06236114766468fde1194005ebc0284c0,SRIVASAVI,NSE_EQ:14411,NSE,EQ,14411
2c83f0d78c677ea2a3069c36925e9e9a42b9be7a6148f20bcd45a1d4eea9293e,VPRPL,NSE_EQ:18341,NSE,EQ,18341
4f618ac32a606017424508eede05891dd041abca53b442877ebcb81180d1b7ae,PAKKA,NSE_EQ:17197,NSE,EQ,17197
fa846e8bc3b0a5a98a6edd5e99ad0014631d2db63c37f94cae333ca61cb41fa3,ASKAUTOLTD,NSE_EQ:20152,NSE,EQ,20152
605e167d2b836c9cb2e45645724ee8dc2dcf590eaeaad2c0d2c1b69d2c25dd36,VELS,NSE_EQ:14595,NSE,EQ,14595
822df8eca1cab0d3ef56752995db37969acf1ef2889bfa94b163c50def39c738,HDFCLIQUID,NSE_EQ:18279,NSE,EQ,18279
ad3f400934ac81ccc2e6ca1474e9e85ec48c640ccdaa04766f8fd4cc3876bf67,INOXINDIA,NSE_EQ:20607,NSE,EQ,20607
2f33d7529af7d0006723f67e870e81e0f07a96d773b0e91c76c460ee8e62175b,GOLDETFADD,NSE_EQ:15356,NSE,EQ,15356
62036c4c2fc079b75cbce13ecef11dfa99cd7a630d1641c942ede636040abff1,ASMS,NSE_EQ:14064,NSE,EQ,14064
f6a34b633a4446c9dbb5e0fe28086da9b57a09214691fc18646a3eede92627f0,ESFL,NSE_EQ:17084,NSE,EQ,17084
7acb9ee98f98335b11e10b1b19ad3a67db100da857baf1a386523b8b12204b2a,GOLDIETF,NSE_EQ:19679,NSE,EQ,19679
c31c83101abb21a85798326d48ce2afad5298c839c46ef10c0b18b8be77bf999,TATSILV,NSE_EQ:21428,NSE,EQ,21428
5768255d3b356bf72f765b2a295b024218ec2fabf89d7c7fb64283578db38ab9,NETWEB,NSE_EQ:17433,NSE,EQ,17433
fda634844eb66a19a1e43a55d824753e688ee9d182442d7c89369996374ba908,PATTECH,NSE_EQ:15137,NSE,EQ,15137
f5a5afe19bb83c100194149b66e1dffee5bb5d900250bcf242c27c421d6d5779,JSFB,NSE_EQ:22663,NSE,EQ,22663
665a3a12335ded3b5e89e2389305f1c4685bfe77f6b89d52afcd8db89d04eb50,BANKETFADD,NSE_EQ:13644,NSE,EQ,13644
23d562492428caad50c544f19f45adb357dd595b1d6a8fec5005f903555712aa,SAURASHCEM,NSE_EQ:3018,NSE,EQ,3018
e7b199e864fa4eb2e00bc5938f98011f20a06d1db9282d76c4ff7502c82faf77,INNOVACAP,NSE_EQ:21062,NSE,EQ,21062
2cf078837a57a4b6d51aeccc3bf4e9f2b375c355a2133ff8c32f0542d7ae4aad,MUFTI,NSE_EQ:20878,NSE,EQ,20878
55728a6bc3deaad8bafb63fb3afcf5e34fe1997ff1760d84b9aa1bebeae78060,KRYSTAL,NSE_EQ:23175,NSE,EQ,23175
b97d65330610ee25641e5703b590774e7dbb40f92c0429ba8655db2fa6c980d8,ALPHAETF,NSE_EQ:19640,NSE,EQ,19640
de3a79729d3ad6ea2724f474443eb1cfd086a78af31f1c9fa0c21b739563cfd0,JYOTICNC,NSE_EQ:21334,NSE,EQ,21334
72538f2a56616a03e553a5b579b1e7d4f9a46fa10e83f476911b4becb9362cb5,CELLO,NSE_EQ:19795,NSE,EQ,19795
a9bcdbb784f70342d03071f0fa1db9e70fac10225fa7d5f053abcf0f9c272255,FLAIR,NSE_EQ:20372,NSE,EQ,20372
676b463430d1ed2e919597d4642a360bdfe918815a67a3937a9de54e7ee74e17,MOSMALL250,NSE_EQ:23181,NSE,EQ,23181
3194b4c8557b7a548bfaee416bc92ac66897bc564544d0d13f291de5673b8707,DIGIDRIVE,NSE_EQ:21247,NSE,EQ,21247
47bb1cab9e3b08b10220ee9bf028d02e6a8e99e4964ca3d252ff8585bb7a68ce,VHLTD,NSE_EQ:23386,NSE,EQ,23386
a3ee999c3da3d7dc4d940aeb67cc3dbecfe70e5414003039d20dbc3a08042dec,USK,NSE_EQ:14871,NSE,EQ,14871
3738ca9d5d0f864f8e3816f32688aca72926b4b8f13cd128e1f46bed86af0517,GSEC10YEAR,NSE_EQ:14938,NSE,EQ,14938
46ce8f0a27ceff40cb4a9da483dc17cccc74043820c684035cd1881494e8f196,ACL,NSE_EQ:15420,NSE,EQ,15420
7fde4b210fa69df378530f96e0f027ac6061b54e85de749a33bca23f452ede2f,DOMS,NSE_EQ:20551,NSE,EQ,20551
2dcc68684c475d2108a235a12155e8bc9b8c902634d258b0aa7a8b61e095834a,LLOYDSME,NSE_EQ:17313,NSE,EQ,17313
3246532a75d5bb28007220f600baa72bb0cf085d9e47746f5088d3384a888f2d,SENSEXETF,NSE_EQ:19224,NSE,EQ,19224
6df18c4392f0fcc9a9451986fe47db86aa15c95d34bd950068c19036500c27fd,COMSYN,NSE_EQ:21594,NSE,EQ,21594
c69543fde7a4a1429d290c257837fbe31e0050fe8d4208385e42ef88003d723a,KIRLPNU,NSE_EQ:15180,NSE,EQ,15180
7deee3b2b6330e406ca5ac56a61d41a51e88e53652f22d74907cb8d2e092763d,AATMAJ,NSE_EQ:16961,NSE,EQ,16961
1ff2be3e0d163960c6cfca80deeab1a47b1af256680488c0c5fc71ab7d7ccae4,BAJEL,NSE_EQ:20531,NSE,EQ,20531
5d9bf5fcd5d1dcfe2193d967caec429eca4e52f1a730a7f487e4d0c467017b96,RRKABEL,NSE_EQ:18566,NSE,EQ,18566
2d228cb5928ea078543eda6a36609c79094d0045116f7eeaea60b3aa09ae4ca2,TVSSCS,NSE_EQ:18151,NSE,EQ,18151
