,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
15209,541154,HAL,Hindustan Aeronautics Ltd,23 Mar 2020,Interim Dividend - Rs. - 33.2500,24 Mar 2020,-,-,17 Mar 2020,20 Mar 2020,-
15210,530965,IOC,Indian Oil Corporation Ltd,23 Mar 2020,Interim Dividend - Rs. - 4.2500,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15211,500243,KIRLOSIND,Kirloskar Industries Ltd,23 Mar 2020,Interim Dividend - Rs. - 10.0000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15212,540222,LAURUSLABS,Laurus Labs Ltd,23 Mar 2020,Interim Dividend - Rs. - 1.5000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15213,523704,MASTEK,Mastek Ltd,23 Mar 2020,Interim Dividend - Rs. - 5.0000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15214,533398,MUTHOOTFIN,Muthoot Finance Ltd,23 Mar 2020,Interim Dividend - Rs. - 15.0000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15215,500312,ONGC,Oil and Natural Gas Corporation Ltd,23 Mar 2020,Interim Dividend - Rs. - 5.0000,24 Mar 2020,-,-,17 Mar 2020,20 Mar 2020,-
15216,542907,PRINCEPIPE,Prince Pipes and Fittings Ltd,23 Mar 2020,Interim Dividend - Rs. - 1.0000,24 Mar 2020,-,-,17 Mar 2020,20 Mar 2020,-
15217,540065,RBLBANK,RBL Bank Ltd,23 Mar 2020,Interim Dividend - Rs. - 1.5000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15218,540425,SHANKARA,Shankara Building Products Ltd,23 Mar 2020,Interim Dividend - Rs. - 2.0000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
15219,513709,SHILGRAVQ,Shilp Gravures Ltd,23 Mar 2020,Interim Dividend - Rs. - 1.5000,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
