Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
504397,GANHOLD,Ganesh Holdings Ltd,05 Feb 2025,Right Issue of Equity Shares ,05 Feb 2025,-,-,05 Feb 2025,05 Feb 2025,-
505336,HARSHILAGR,Harshil Agrotech Ltd,05 Feb 2025,Right Issue of Equity Shares ,05 Feb 2025,-,-,05 Feb 2025,05 Feb 2025,-
513250,JYOTISTRUC,Jyoti Structures Ltd,10 Feb 2025,Right Issue of Equity Shares ,10 Feb 2025,-,-,10 Feb 2025,10 Feb 2025,-
537707,ETT,ETT Ltd,11 Feb 2025,Right Issue of Equity Shares ,11 Feb 2025,-,-,11 Feb 2025,11 Feb 2025,-
533158,THANGAMAYL,Thangamayil Jewellery Ltd,11 Feb 2025,Right Issue of Equity Shares ,11 Feb 2025,-,-,11 Feb 2025,11 Feb 2025,-
506122,VOLKAI,Kairosoft AI Solutions Ltd,11 Feb 2025,Right Issue of Equity Shares ,11 Feb 2025,-,-,11 Feb 2025,11 Feb 2025,-
507962,RAJATH,Rajath Finance Ltd,21 Feb 2025,Right Issue of Equity Shares ,21 Feb 2025,-,-,21 Feb 2025,21 Feb 2025,-
538897,SHRINIWAS,Shri Niwas Leasing And Finance Ltd,27 Feb 2025,Right Issue of Equity Shares ,27 Feb 2025,-,-,27 Feb 2025,27 Feb 2025,-
500365,WELSPLSOL,Welspun Specialty Solutions Ltd,28 Feb 2025,Right Issue of Equity Shares ,01 Mar 2025,-,-,28 Feb 2025,28 Feb 2025,-
531671,BISIL,Bisil Plast Ltd,07 Mar 2025,Right Issue of Equity Shares ,08 Mar 2025,-,-,07 Mar 2025,07 Mar 2025,-
544281,ABINFRA,A B Infrabuild Ltd,10 Mar 2025,Right Issue of Equity Shares ,10 Mar 2025,-,-,10 Mar 2025,10 Mar 2025,-
530627,VIPULORG,Vipul Organics Ltd,10 Mar 2025,Right Issue of Equity Shares ,10 Mar 2025,-,-,10 Mar 2025,10 Mar 2025,-
