Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
522235,MINALIND,Minal Industries Ltd,10 Mar 2011,Bonus issue 2:3,12 Mar 2011,-,-,07 Mar 2011,10 Mar 2011,-
532234,NATIONALUM,National Aluminium Company Ltd,15 Mar 2011,Bonus issue 1:1,16 Mar 2011,-,-,09 Mar 2011,15 Mar 2011,-
519260,SANWARIA,Sanwaria Consumer Ltd-$,07 Apr 2011,Bonus issue 1:1,08 Apr 2011,-,-,31 Mar 2011,07 Apr 2011,-
500249,KSB,KSB Ltd,18 Apr 2011,Bonus issue 1:1,19 Apr 2011,-,-,08 Apr 2011,18 Apr 2011,-
531431,SHAKTIPUMP,Shakti Pumps India Ltd-$,28 Apr 2011,Bonus issue 1:1,29 Apr 2011,-,-,21 Apr 2011,28 Apr 2011,-
531841,INDUSFINL,Indus Finance Ltd,03 May 2011,Bonus issue 1:1,04 May 2011,-,-,27 Apr 2011,03 May 2011,-
532944,ONMOBILE,OnMobile Global Ltd,03 May 2011,Bonus issue 1:1,04 May 2011,-,-,27 Apr 2011,03 May 2011,-
506146,VIVIDHA,Visagar Polytex Ltd,26 May 2011,Bonus issue 1:1,28 May 2011,-,-,23 May 2011,26 May 2011,-
500069,QUESTCAP,Quest Capital Markets Ltd,06 Jun 2011,Bonus issue 1:4,-,08 Jun 2011,08 Jun 2011,01 Jun 2011,07 Jun 2011,-
531213,MANAPPURAM,Manappuram Finance Ltd,09 Jun 2011,Bonus issue 1:1,10 Jun 2011,-,-,03 Jun 2011,09 Jun 2011,-
500114,TITAN,Titan Company Ltd,23 Jun 2011,Bonus issue 1:1,24 Jun 2011,-,-,17 Jun 2011,23 Jun 2011,-
514183,BLACKROSE,Black Rose Industries Ltd,30 Jun 2011,Bonus issue 1:1,-,05 Jul 2011,06 Jul 2011,27 Jun 2011,04 Jul 2011,-
532503,RAJPALAYAM,Rajapalayam Mills Ltd-$,13 Jul 2011,Bonus issue 1:1,-,15 Jul 2011,20 Jul 2011,08 Jul 2011,14 Jul 2011,-
531178,HEMANG,Hemang Resources Ltd,14 Jul 2011,Bonus issue 3:1,15 Jul 2011,-,-,08 Jul 2011,14 Jul 2011,-
509472,CRAVATEX,Cravatex Ltd,15 Jul 2011,Bonus issue 1:1,-,19 Jul 2011,19 Jul 2011,12 Jul 2011,18 Jul 2011,-
500120,DIAMINESQ,Diamines & Chemicals Ltd-$,19 Jul 2011,Bonus issue 1:2,-,21 Jul 2011,21 Jul 2011,14 Jul 2011,20 Jul 2011,-
500477,ASHOKLEY,Ashok Leyland Ltd,02 Aug 2011,Bonus issue 1:1,03 Aug 2011,-,-,27 Jul 2011,02 Aug 2011,-
504340,LONGSPUR,Longspur International Ventures Ltd,23 Aug 2011,Bonus issue 4:1,29 Aug 2011,-,-,23 Aug 2011,30 Aug 2011,-
507836,MCCHRLS-B,Mac Charles India Ltd,12 Sep 2011,Bonus issue 1:1,15 Sep 2011,-,-,12 Sep 2011,20 Sep 2011,-
500480,CUMMINSIND,Cummins India Ltd,20 Sep 2011,Bonus issue 2:5,21 Sep 2011,-,-,14 Sep 2011,20 Sep 2011,-
532240,INDNIPPON,India Nippon Electricals Ltd,20 Sep 2011,Bonus issue 2:5,21 Sep 2011,-,-,14 Sep 2011,20 Sep 2011,-
532854,NITINFIRE,Nitin Fire Protection Industries Ltd,22 Sep 2011,Bonus issue 5:2,23 Sep 2011,-,-,16 Sep 2011,22 Sep 2011,-
521163,ZODIACLOTH,Zodiac Clothing Company Ltd,27 Sep 2011,Bonus issue 1:2,28 Sep 2011,-,-,21 Sep 2011,27 Sep 2011,-
533576,VASWANI,Vaswani Industries Ltd,29 Sep 2011,Bonus issue 1:4,03 Oct 2011,-,-,26 Sep 2011,30 Sep 2011,-
531082,ALANKIT,Alankit Ltd,10 Oct 2011,Bonus issue 4:1,18 Oct 2011,-,-,10 Oct 2011,21 Oct 2011,-
501630,ANANDPROJ,Anand Projects Ltd,20 Oct 2011,Bonus issue 17:1,01 Nov 2011,-,-,20 Oct 2011,03 Nov 2011,-
500219,JISLJALEQS,Jain Irrigation Systems Ltd,08 Nov 2011,Bonus issue 1:20,09 Nov 2011,-,-,01 Nov 2011,08 Nov 2011,-
507779,KANPRPLA,Kanpur Plastipack Ltd,16 Nov 2011,Bonus issue 1:2,17 Nov 2011,-,-,11 Nov 2011,16 Nov 2011,-
532400,BSOFT,Birlasoft Ltd,13 Mar 2012,Bonus issue 1:1,14 Mar 2012,-,-,06 Mar 2012,13 Mar 2012,-
531531,HATSUN,Hatsun Agro Product Ltd,26 Mar 2012,Bonus issue 1:2,27 Mar 2012,-,-,19 Mar 2012,26 Mar 2012,-
533106,OIL,Oil India Ltd,29 Mar 2012,Bonus issue 3:2,31 Mar 2012,-,-,26 Mar 2012,28 Mar 2012,-
532391,OPTOCIRCUI,Opto Circuits (India) Ltd,29 Mar 2012,Bonus issue 3:10,31 Mar 2012,-,-,26 Mar 2012,28 Mar 2012,-
511431,VAKRANGEE,Vakrangee Ltd-$,12 Apr 2012,Bonus issue 1:1,13 Apr 2012,-,-,04 Apr 2012,12 Apr 2012,-
533166,SUNDARAM,Sundaram Multi Pap Ltd,13 Apr 2012,Bonus issue 2:1,16 Apr 2012,-,-,09 Apr 2012,13 Apr 2012,-
532612,INDOCO,Indoco Remedies Ltd,17 May 2012,Bonus issue 1:2,19 May 2012,-,-,14 May 2012,17 May 2012,-
533506,INVENTURE,Inventure Growth & Securities Ltd,22 May 2012,Bonus issue 3:1,23 May 2012,-,-,16 May 2012,22 May 2012,-
532777,NAUKRI,Info Edge (India) Ltd,22 Jun 2012,Bonus issue 1:1,-,26 Jun 2012,26 Jun 2012,19 Jun 2012,25 Jun 2012,-
512161,SECURKLOUD,Securekloud Technologies Ltd,22 Jun 2012,Bonus issue 2:3,25 Jun 2012,-,-,18 Jun 2012,22 Jun 2012,-
524412,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd,25 Jun 2012,Bonus issue 1:5,26 Jun 2012,-,-,19 Jun 2012,25 Jun 2012,-
531795,ATULAUTO,Atul Auto Ltd-$,03 Jul 2012,Bonus issue 1:2,-,05 Jul 2012,05 Jul 2012,27 Jun 2012,04 Jul 2012,-
512626,ORBTEXP,Orbit Exports Ltd,09 Jul 2012,Bonus issue 1:2,10 Jul 2012,-,-,03 Jul 2012,09 Jul 2012,-
505720,HERCULES,Hercules Hoists Ltd,11 Jul 2012,Bonus issue 1:1,-,13 Jul 2012,17 Jul 2012,06 Jul 2012,12 Jul 2012,-
505714,GABRIEL,Gabriel India Ltd-$,12 Jul 2012,Bonus issue 1:1,13 Jul 2012,-,-,06 Jul 2012,12 Jul 2012,-
532926,JYOTHYLAB,Jyothy Labs Ltd,12 Jul 2012,Bonus issue 1:1,-,16 Jul 2012,16 Jul 2012,09 Jul 2012,13 Jul 2012,-
530117,PRIVISCL,Privi Speciality Chemicals Ltd,12 Jul 2012,Bonus issue 1:5,-,16 Jul 2012,16 Jul 2012,09 Jul 2012,13 Jul 2012,-
500547,BPCL,Bharat Petroleum Corporation Ltd,13 Jul 2012,Bonus issue 1:1,-,17 Jul 2012,17 Jul 2012,10 Jul 2012,16 Jul 2012,-
509024,GOLDLEG,Golden Legand Leasing & finance Ltd,17 Jul 2012,Bonus issue 1:1,18 Jul 2012,-,-,11 Jul 2012,17 Jul 2012,-
531847,ASTAR,Asian Star Company Ltd-$,19 Jul 2012,Bonus issue 1:2,21 Jul 2012,-,-,16 Jul 2012,19 Jul 2012,-
513517,STEELCAS,Steelcast Ltd,25 Jul 2012,Bonus issue 1:1,26 Jul 2012,-,-,19 Jul 2012,25 Jul 2012,-
522249,MAYURUNIQ,Mayur Uniquoters Ltd-$,06 Aug 2012,Bonus issue 1:1,07 Aug 2012,-,-,31 Jul 2012,06 Aug 2012,-
505075,SETCO,Setco Automotive Ltd,14 Aug 2012,Bonus issue 1:2,-,17 Aug 2012,18 Aug 2012,09 Aug 2012,16 Aug 2012,-
500870,CASTROLIND,Castrol India Ltd,04 Sep 2012,Bonus issue 1:1,05 Sep 2012,-,-,29 Aug 2012,04 Sep 2012,-
590065,IMPAL,India Motor Parts & Accessories Ltd,10 Sep 2012,Bonus issue 1:1,11 Sep 2012,-,-,04 Sep 2012,10 Sep 2012,-
524091,CARYSIL,Carysil Ltd,27 Sep 2012,Bonus issue 1:2,28 Sep 2012,-,-,21 Sep 2012,27 Sep 2012,-
524669,HESTERBIO,Hester Biosciences Ltd,27 Sep 2012,Bonus issue 1:2,-,29 Sep 2012,29 Sep 2012,24 Sep 2012,27 Sep 2012,-
517334,MOTHERSON,Samvardhana Motherson International Ltd,03 Oct 2012,Bonus issue 1:2,-,05 Oct 2012,05 Oct 2012,27 Sep 2012,04 Oct 2012,-
512443,GANONPRO,Ganon Products Ltd,15 Oct 2012,Bonus issue 30:1,16 Oct 2012,-,-,09 Oct 2012,15 Oct 2012,-
511636,DJSSS,DJS Stock & Shares Ltd,23 Oct 2012,Bonus issue 1:2,26 Oct 2012,-,-,18 Oct 2012,23 Oct 2012,-
534615,NECCLTD,North Eastern Carrying Corporation Ltd,15 Nov 2012,Bonus issue 3:1,16 Nov 2012,-,-,08 Nov 2012,15 Nov 2012,-
507609,OLYOI,Olympic Oil Industries Ltd,19 Nov 2012,Bonus issue 3:1,20 Nov 2012,-,-,09 Nov 2012,19 Nov 2012,-
531025,VISAGAR,Visagar Financial Services Ltd,04 Dec 2012,Bonus issue 1:1,05 Dec 2012,-,-,27 Nov 2012,04 Dec 2012,-
505533,WESTLIFE,Westlife Foodworld Ltd,07 Dec 2012,Bonus issue 1:1,-,11 Dec 2012,11 Dec 2012,04 Dec 2012,10 Dec 2012,-
524210,PNTKYOR,Pentokey Organy India Ltd,13 Dec 2012,Bonus issue 2:3,14 Dec 2012,-,-,07 Dec 2012,13 Dec 2012,-
590071,SUNDARMFIN,Sundaram Finance Ltd,13 Dec 2012,Bonus issue 1:1,14 Dec 2012,-,-,07 Dec 2012,13 Dec 2012,-
500463,BBOX,Black Box Ltd,19 Dec 2012,Bonus issue 1:1,20 Dec 2012,-,-,13 Dec 2012,19 Dec 2012,-
508922,MSRINDIA,MSR India Ltd,20 Dec 2012,Bonus issue 5:1,21 Dec 2012,-,-,14 Dec 2012,20 Dec 2012,-
532959,AJRINFRA,AJR Infra And Tolling Ltd,23 Jan 2013,Bonus issue 1:34,24 Jan 2013,-,-,17 Jan 2013,22 Jan 2013,-
506184,KANANIIND,Kanani Industries Ltd,01 Feb 2013,Bonus issue 1:10,-,05 Feb 2013,05 Feb 2013,29 Jan 2013,04 Feb 2013,-
512191,MISHKAFIN,Mishka Finance and Trading Ltd,05 Feb 2013,Bonus issue 7:1,06 Feb 2013,-,-,30 Jan 2013,05 Feb 2013,-
502448,ROLLT,Rollatainers Ltd,27 Feb 2013,Bonus issue 3:2,28 Feb 2013,-,-,21 Feb 2013,27 Feb 2013,-
532411,VISESHINFO,Visesh Infotecnics Ltd,07 Mar 2013,Bonus issue 1:10,08 Mar 2013,-,-,01 Mar 2013,07 Mar 2013,-
531387,HASTIFIN,Hasti Finance Ltd,13 Mar 2013,Bonus issue 1:10,14 Mar 2013,-,-,07 Mar 2013,13 Mar 2013,-
523144,MEDICAPQ,Medi Caps Ltd-$,19 Mar 2013,Bonus issue 3:1,20 Mar 2013,-,-,13 Mar 2013,19 Mar 2013,-
508494,WARRENTEA,Warren Tea Ltd-$,21 Mar 2013,Bonus issue 7:10,22 Mar 2013,-,-,15 Mar 2013,21 Mar 2013,-
507828,ANSALHSG,Ansal Housing Ltd-$,10 Apr 2013,Bonus issue 2:1,12 Apr 2013,-,-,05 Apr 2013,11 Apr 2013,-
512165,ABANSENT,Abans Enterprises Ltd,26 Apr 2013,Bonus issue 1:1,07 May 2013,-,-,26 Apr 2013,11 May 2013,-
532038,EMMSONS,Emmsons International Ltd-$,08 May 2013,Bonus issue 1:1,09 May 2013,-,-,02 May 2013,08 May 2013,-
523319,BALMLAWRIE,Balmer Lawrie & Company Ltd,23 May 2013,Bonus issue 3:4,24 May 2013,-,-,17 May 2013,23 May 2013,-
512377,MAGANTR,Magnanimous Trade & finance Ltd,28 May 2013,Bonus issue 3:1,04 Jun 2013,-,-,28 May 2013,07 Jun 2013,-
524709,NACLIND,NACL Industries Ltd,30 May 2013,Bonus issue 3:14,01 Jun 2013,-,-,27 May 2013,30 May 2013,-
531597,MIDPOLY,Midland Polymers Ltd,10 Jun 2013,Bonus issue 1:1,11 Jun 2013,-,-,04 Jun 2013,10 Jun 2013,-
532928,TARIL,Transformers and Rectifiers (India) Ltd,13 Jun 2013,Bonus issue 1:9,14 Jun 2013,-,-,07 Jun 2013,13 Jun 2013,-
506532,NITTAGELA,Nitta Gelatin India Ltd-$,19 Jun 2013,Bonus issue 1:3,20 Jun 2013,-,-,13 Jun 2013,19 Jun 2013,-
507966,RASRESOR,Ras Resorts & Apart Hotels Ltd,21 Jun 2013,Bonus issue 1:5,-,25 Jun 2013,25 Jun 2013,19 Jun 2013,24 Jun 2013,-
531162,EMAMILTD,Emami Ltd-$,26 Jun 2013,Bonus issue 1:2,27 Jun 2013,-,-,20 Jun 2013,26 Jun 2013,-
532782,SUTLEJTEX,Sutlej Textiles and Industries Ltd,27 Jun 2013,Bonus issue 1:2,28 Jun 2013,-,-,21 Jun 2013,26 Jun 2013,-
533271,ASHOKA,Ashoka Buildcon Ltd,03 Jul 2013,Bonus issue 1:2,04 Jul 2013,-,-,27 Jun 2013,03 Jul 2013,-
